original_title,genres,popularity,original_language,production_countries,imdb_score
Nuovo Cinema Paradiso,"['Drama', 'Romance']",14.177005,Italian,"['IT', 'FR']",7.784419672456205
Dallas Buyers Club,"['Drama', 'History']",14.785719,English,['US'],7.7834705248712
Good Will Hunting,['Drama'],15.064833,English,"['CA', 'US']",7.779905642901799
Full Metal Jacket,"['Drama', 'War']",13.94148,English,"['GB', 'US']",7.767482088719228
Django Unchained,"['Drama', 'Western']",19.785025,English,['US'],7.766616922102082
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Drama', 'Comedy', 'War']",9.80398,English,"['GB', 'US']",7.766490903444528
Requiem for a Dream,"['Crime', 'Drama']",6.874828,English,['US'],7.764027245594589
Up,"['Animation', 'Comedy', 'Family']",19.330884,English,['US'],7.75156952752795
Shutter Island,"['Drama', 'Thriller', 'Mystery']",15.813629,English,['US'],7.74804482131589
WALL·E,"['Animation', 'Family']",16.088366,English,['US'],7.747100038554549
Big Hero 6,"['Adventure', 'Family', 'Animation']",213.849907,English,['US'],7.74586961612986
Mommy,['Drama'],14.876086,English,['CA'],7.737934177205222
Band of Brothers,"['Action', 'Drama', 'War']",7.903731,English,"['GB', 'US']",7.733235202736123
Citizen Kane,"['Mystery', 'Drama']",15.811921,English,['US'],7.7285706228073145
The Help,['Drama'],7.486118,English,"['IN', 'AE', 'US']",7.728275237263156
The Truman Show,"['Comedy', 'Drama']",13.155901,English,['US'],7.728200977873605
Modern Times,"['Drama', 'Comedy']",8.159556,English,['US'],7.718552501845792
Vertigo,"['Mystery', 'Romance', 'Thriller']",18.20822,English,['US'],7.711734610001112
The Theory of Everything,"['Drama', 'Romance']",11.85302,English,['GB'],7.702024460965891
Le fabuleux destin d'Amélie Poulain,"['Comedy', 'Romance']",12.879381,French,"['FR', 'DE']",7.702024460965891
Hacksaw Ridge,"['Drama', 'History', 'War']",21.037699,English,"['AU', 'US']",7.698932586688323
It's a Wonderful Life,"['Drama', 'Family', 'Fantasy']",15.031588,English,['US'],7.698268530816682
Gran Torino,['Drama'],14.794228,English,"['US', 'DE']",7.6955142635203435
Mr. Nobody,"['Science Fiction', 'Drama', 'Romance']",11.817059,English,"['BE', 'CA', 'FR']",7.694433082444522
Into the Wild,"['Adventure', 'Drama']",15.423538,English,['US'],7.694184041958614
There Will Be Blood,['Drama'],8.200627,English,['US'],7.690300490764773
The Big Lebowski,"['Comedy', 'Crime']",15.952524,English,"['GB', 'US']",7.689564427213371
Captain Fantastic,"['Adventure', 'Comedy', 'Drama']",16.519276,English,['US'],7.688845086420747
Spotlight,"['Drama', 'Thriller', 'History']",14.63239,English,"['CA', 'US']",7.680080094270515
Trainspotting,"['Drama', 'Crime']",19.348466,English,['GB'],7.679500571080935
Casablanca,"['Drama', 'Romance']",13.916101,English,['US'],7.674915631579204
The Great Dictator,['Comedy'],9.241748,English,['US'],7.666499076879334
The Breakfast Club,"['Comedy', 'Drama']",12.627678,English,['US'],7.651389167484662
Hidden Figures,['Drama'],16.816834,English,['US'],7.650689971951013
About Time,"['Comedy', 'Drama', 'Science Fiction']",11.213913,English,['GB'],7.648223110618029
Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy', 'Family']",28.460276,English,"['GB', 'US']",7.646250307313453
Toy Story,"['Animation', 'Comedy', 'Family']",21.946943,English,['US'],7.640253480613716
Kill Bill: Vol. 1,"['Action', 'Crime']",25.261865,English,['US'],7.636566969038558
Zootopia,"['Animation', 'Adventure', 'Family']",26.024868,English,['US'],7.634956679246528
Paths of Glory,"['Drama', 'War']",8.548518,English,['US'],7.630225040581337
V for Vendetta,"['Action', 'Thriller', 'Fantasy']",20.214422,English,"['DE', 'GB', 'US']",7.629460642613611
Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']",22.661695,English,"['FR', 'US']",7.624878925219096
Kill Bill: Vol. 2,"['Action', 'Crime', 'Thriller']",21.533072,English,['US'],7.621088167358794
Raiders of the Lost Ark,"['Adventure', 'Action']",19.901576,English,['US'],7.618937248581521
Catch Me If You Can,"['Drama', 'Crime']",19.833077,English,['US'],7.618300994461975
Some Like It Hot,"['Comedy', 'Romance']",11.845107,English,['US'],7.616998145147205
Monty Python and the Holy Grail,"['Adventure', 'Comedy', 'Fantasy']",10.43389,English,['GB'],7.616463277824116
Donnie Darko,"['Fantasy', 'Drama', 'Mystery']",18.303148,English,['US'],7.610796238463169
Braveheart,"['Action', 'Drama', 'History']",20.755149,English,['US'],7.60654128911938
The Thing,"['Horror', 'Mystery', 'Science Fiction']",16.83125,English,['US'],7.604870404930949
Sunset Boulevard,['Drama'],11.709777,English,['US'],7.603915085745266
Aliens,"['Horror', 'Action', 'Thriller']",21.761179,English,"['GB', 'US']",7.603228690999846
The Sixth Sense,"['Mystery', 'Thriller', 'Drama']",18.449169,English,['US'],7.6015409856403995
The Notebook,"['Romance', 'Drama']",15.239013,English,['US'],7.599763212284523
Stand by Me,"['Crime', 'Drama']",15.206957,English,['US'],7.597982149549461
A Beautiful Mind,"['Drama', 'Romance']",11.93646,English,['US'],7.597417047866175
No Country for Old Men,"['Crime', 'Drama', 'Thriller']",15.565484,English,['US'],7.597290519402242
The Perks of Being a Wallflower,"['Drama', 'Romance']",12.775679,English,['US'],7.596428219658417
Snatch,"['Thriller', 'Crime']",14.014025,English,"['GB', 'US']",7.593001334539502
The Pursuit of Happyness,['Drama'],20.981716,English,['US'],7.579621667662258
Das Leben der Anderen,"['Drama', 'Thriller']",9.02255,German,['DE'],7.578903389992498
Pride & Prejudice,"['Drama', 'Romance']",14.439083,English,"['FR', 'GB', 'US']",7.577083751226992
Million Dollar Baby,['Drama'],14.471373,English,['US'],7.575667470855345
Paperman,"['Animation', 'Family', 'Romance']",7.198633,English,['US'],7.5737283606504135
Jagten,['Drama'],8.462801,Danish,"['DK', 'SE']",7.569903394594458
Chinatown,"['Crime', 'Drama', 'Mystery']",12.29227,English,['US'],7.567800868445378
Casino,"['Drama', 'Crime']",10.137389,English,"['FR', 'US']",7.567739956368243
The Dark Knight Rises,"['Action', 'Crime', 'Drama']",20.58258,English,['US'],7.566349692711607
Rush,"['Drama', 'Action']",10.63552,English,"['DE', 'GB']",7.565147026081567
Piper,"['Family', 'Animation']",11.243161,English,['US'],7.561535014561777
The Martian,"['Drama', 'Adventure', 'Science Fiction']",25.62993,English,['US'],7.5582890232072435
Fargo,"['Crime', 'Drama', 'Thriller']",12.61469,English,['US'],7.551300515366727
Logan,"['Action', 'Drama', 'Science Fiction']",54.581997,English,['US'],7.5509912139754976
Finding Nemo,"['Animation', 'Family']",25.497794,English,['US'],7.550854487666068
Kingsman: The Secret Service,"['Crime', 'Comedy', 'Action']",28.224212,English,"['GB', 'US']",7.549095064122888
Captain America: The Winter Soldier,"['Action', 'Adventure', 'Science Fiction']",18.717704,English,['US'],7.547510868137968
La leggenda del pianista sull'oceano,['Fantasy'],7.668214,Italian,['IT'],7.543855958573486
Sing Street,"['Romance', 'Drama', 'Music']",10.672862,English,"['IE', 'GB', 'US']",7.540305373246645
Metropolis,"['Drama', 'Science Fiction']",14.487867,German,['DE'],7.53863578017127
Edge of Tomorrow,"['Action', 'Science Fiction']",31.982986,English,"['AU', 'US']",7.53829794793179
Jurassic Park,"['Adventure', 'Science Fiction']",8.863776,English,['US'],7.538020554030779
Heat,"['Action', 'Crime', 'Drama']",17.924927,English,['US'],7.53720095524021
Ex Machina,"['Drama', 'Science Fiction']",14.14078,English,['GB'],7.536860444926616
Guardians of the Galaxy Vol. 2,"['Action', 'Adventure', 'Comedy']",185.330992,English,['US'],7.5368101144721935
Toy Story 3,"['Animation', 'Family', 'Comedy']",16.96647,English,['US'],7.534889764768268
The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",20.644776,English,"['NZ', 'US']",7.533843762658349
The Hateful Eight,"['Crime', 'Drama', 'Mystery']",20.328822,English,['US'],7.530539573805361
Hachi: A Dog's Tale,"['Drama', 'Family']",8.621359,English,"['GB', 'US']",7.527326674142804
